DocId*,DistributorSynchid*,PostingDate*,Narration,Amount,crAmount,DrAmount,CompanyCode,Entry No_
SG-ST-18-01553,C0000090,29/04/2018,Invoice SG-ST-18-01608,1319732.42,0,1319732.42,,2074687
SG-ST-18-01554,C0000580,29/04/2018,Invoice SG-ST-18-01609,451822.48,0,451822.48,,2074693
SG-ST-18-01555,C0001100,29/04/2018,Invoice SG-ST-18-01621,51320.28,0,51320.28,,2074699
SG-ST-18-01556,C0001800,29/04/2018,Invoice SG-ST-18-01625,1182809.21,0,1182809.21,,2074705
SG-SE-18-00415,C0002300,30/04/2018,Invoice SG-SE-18-00403,55860,0,55860,,2074761
SG-SE-18-00416,C0014250,30/04/2018,Invoice SG-SE-18-00412,2055,0,2055,,2074768
SG-SE-18-00417,C0011240,30/04/2018,Invoice SG-SE-18-00413,12555,0,12555,,2074775
SG-SE-18-00418,C0001900,30/04/2018,Invoice SG-SE-18-00414,14167,0,14167,,2074778
SG-SE-18-00419,C0009650,30/04/2018,Invoice SG-SE-18-00415,14116,0,14116,,2074781
SG-SE-18-00420,C0001110,30/04/2018,Invoice SG-SE-18-00416,5537.3,0,5537.3,,2074784
SG-SE-18-00421,C0014330,30/04/2018,Invoice SG-SE-18-00417,2768,0,2768,,2074787
SG-SE-18-00422,C0012870,30/04/2018,Invoice SG-SE-18-00418,1830.1,0,1830.1,,2074790
SG-SE-18-00423,C0001470,30/04/2018,Invoice SG-SE-18-00420,9225.5,0,9225.5,,2074808
SG-SE-18-00424,C0017580,30/04/2018,Invoice SG-SE-18-00422,4182,0,4182,,2074811
SG-SE-18-00425,C0002900,30/04/2018,Invoice SG-SE-18-00423,4175,0,4175,,2074814
SG-SE-18-00426,C0014190,30/04/2018,Invoice SG-SE-18-00424,5554.3,0,5554.3,,2074822
SG-SE-18-00427,C0017150,30/04/2018,Invoice SG-SE-18-00425,1811.1,0,1811.1,,2074825
SG-SE-18-00428,C0012070,30/04/2018,Invoice SG-SE-18-00426,1801.1,0,1801.1,,2074830
SG-SE-18-00429,C0013660,30/04/2018,Invoice SG-SE-18-00427,4154,0,4154,,2074833
SG-SE-18-00430,C0008920,30/04/2018,Invoice SG-SE-18-00429,4154,0,4154,,2074845
SG-SE-18-00431,C0014010,30/04/2018,Invoice SG-SE-18-00430,4202,0,4202,,2074848
CRN/17-18/01352,C0000840,31/03/2018,SPL. SCHEME GIVEN ONE ONE NOODLES FAMILY PACK,-3715,3715,0,,2074854
SG-SE-18-00432,C0017800,30/04/2018,Invoice SG-SE-18-00432,5586.3,0,5586.3,,2074856
CRN/17-18/01353,C0011200,31/03/2018,SPL. SCHEME GIVEN ONE ONE NOODLES FAMILY PACK,-3096,3096,0,,2074867
SG-ST-18-01557,C0008840,30/04/2018,Invoice SG-ST-18-01632,142323.01,0,142323.01,,2074895
SG-ST-18-01558,C0015780,30/04/2018,Invoice SG-ST-18-01640,142154.34,0,142154.34,,2074900
SG-SCM-17-0472,C0001370,31/03/2018,MANU FOOD PRODUCTS (P) LTD,-11561,11561,0,,2074935
CRN/17-18/01354,C0000220,31/03/2018,SPL. SCHEME GIVEN ONE ONE NOODLES FAMILY PACK,-2477,2477,0,,2074970
CRN/17-18/01355,C0000290,31/03/2018,SPL. SCHEME GIVEN ONE ONE NOODLES FAMILY PACK,-1858,1858,0,,2074990
SG-ST-18-01559,C0002510,30/04/2018,Invoice SG-ST-18-01492,802332.5,0,802332.5,,2075045
SG-ST-18-01560,C0001370,30/04/2018,Invoice SG-ST-18-01629,270180.76,0,270180.76,,2075138
BRV-APR18-1254,C0015020,27/04/2018,shubham and brothers-fulkaha,-100000,100000,0,,2075152
BRV-APR18-1255,C0000220,27/04/2018,AMAN TRADERS,-500000,500000,0,,2075154
BRV-APR18-1256,C0002410,27/04/2018,SHRI RANISATI AGENCIES,-100000,100000,0,,2075156
SG-ST-18-01561,C0001370,30/04/2018,Invoice SG-ST-18-01658,380733.77,0,380733.77,,2075174
SG-SE-18-00433,C0001370,30/04/2018,Invoice SG-SE-18-00442,9310.5,0,9310.5,,2075176
SG-SE-18-00434,C0008360,30/04/2018,Invoice SG-SE-18-00441,14672,0,14672,,2075183
SG-ST-18-01562,C0001370,30/04/2018,Invoice SG-ST-18-01648,1257451.1,0,1257451.1,,2075194
SG-SE-18-00435,C0013940,30/04/2018,Invoice SG-SE-18-00434,26213.4,0,26213.4,,2075202
SG-ST-18-01563,C0008360,30/04/2018,Invoice SG-ST-18-01654,349340.64,0,349340.64,,2075233
SG-ST-18-01564,C0014250,30/04/2018,Invoice SG-ST-18-01534,204213.31,0,204213.31,,2075239
SG-ST-18-01565,C0015860,30/04/2018,Invoice SG-ST-18-01536,14046.42,0,14046.42,,2075248
SG-ST-18-01566,C0013570,30/04/2018,Invoice SG-ST-18-01540,54215.11,0,54215.11,,2075253
SG-ST-18-01567,C0014240,30/04/2018,Invoice SG-ST-18-01542,90916.96,0,90916.96,,2075263
SG-ST-18-01568,C0015970,30/04/2018,Invoice SG-ST-18-01545,260505.43,0,260505.43,,2075270
